number,value,datetime_start,datetime_complete,duration,params_balance,params_batch_size,params_cls_arch,params_dropout,params_hidden_dim,params_lr,params_lr_scheduler,params_optimizer,params_wd,state,split
13,0.8198265550239234,2025-03-25 10:52:27.149408,2025-03-25 10:53:19.481697,0 days 00:00:52.332289,False,128,complex,0.4851196771362177,448.0,0.0004194869845244,False,adam,0.0001030377652283,COMPLETE,0
8,0.8503384912959381,2025-03-25 10:59:18.061084,2025-03-25 11:00:20.260547,0 days 00:01:02.199463,False,16,simple,,,0.0001534890452855,False,adam,0.0005286954291243,COMPLETE,1
11,0.8087418689512931,2025-03-25 11:10:27.062780,2025-03-25 11:11:19.915352,0 days 00:00:52.852572,False,64,complex,0.1876483314663505,448.0,0.0002399645692472,True,adam,0.0017267986771503,COMPLETE,2
14,0.8816102756892231,2025-03-25 11:21:31.570762,2025-03-25 11:22:32.136719,0 days 00:01:00.565957,False,16,simple,,,0.0044413525595453,True,sgd,0.0024076079618982,COMPLETE,3
10,0.8183685446009391,2025-03-25 11:29:55.894275,2025-03-25 11:30:50.733265,0 days 00:00:54.838990,False,32,simple,,,0.0002686823779312,False,adam,0.0001273895275569,COMPLETE,4
4,0.7899502487562189,2025-03-25 11:37:12.139890,2025-03-25 11:38:07.437406,0 days 00:00:55.297516,False,32,complex,0.235275127981855,320.0,0.0002454684716003,True,adam,0.0098957584208144,COMPLETE,5
12,0.8512694202349376,2025-03-25 11:50:01.048797,2025-03-25 11:50:54.364481,0 days 00:00:53.315684,True,64,simple,,,0.0002452885525442,False,adam,0.0003298415408496,COMPLETE,6
0,0.8105704204645692,2025-03-25 11:51:53.323178,2025-03-25 11:52:46.444783,0 days 00:00:53.121605,True,128,complex,0.1301019009181079,128.0,0.000347186906366,True,adam,0.0012005952408967,COMPLETE,7
13,0.8077147998200629,2025-03-25 12:09:03.360573,2025-03-25 12:10:05.072076,0 days 00:01:01.711503,True,16,complex,0.1504799058962193,384.0,0.0002798076914403,True,adam,0.0003082771512274,COMPLETE,8
2,0.8348030570252791,2025-03-25 12:12:52.453404,2025-03-25 12:13:45.647671,0 days 00:00:53.194267,True,64,simple,,,0.0054920816430505,True,sgd,0.0091671397758696,COMPLETE,9
11,0.8250489620054837,2025-03-25 12:26:39.124596,2025-03-25 12:27:31.836118,0 days 00:00:52.711522,True,128,simple,,,0.0005022449734125,False,adam,0.0031908005561861,COMPLETE,10
4,0.7694915254237288,2025-03-25 12:32:20.343280,2025-03-25 12:33:21.728647,0 days 00:01:01.385367,True,16,simple,,,0.0005920046960916,True,adam,0.0090970230586866,COMPLETE,11
7,0.8018131983976386,2025-03-25 12:45:07.434812,2025-03-25 12:46:02.613909,0 days 00:00:55.179097,True,32,simple,,,0.0018325450716217,True,sgd,0.0080493558068109,COMPLETE,12
7,0.8077602033611071,2025-03-25 12:56:26.652202,2025-03-25 12:57:20.791690,0 days 00:00:54.139488,True,32,simple,,,0.0020462138489769,True,sgd,0.0011857387115643,COMPLETE,13
11,0.8515911172161171,2025-03-25 13:07:08.394154,2025-03-25 13:08:10.125431,0 days 00:01:01.731277,False,16,complex,0.4821628216197794,512.0,0.0080033582129408,False,sgd,0.0023709395048248,COMPLETE,14
5,0.762841381805028,2025-03-25 13:13:53.744831,2025-03-25 13:14:46.385294,0 days 00:00:52.640463,True,128,complex,0.3205311657142113,256.0,0.0009710694894517,True,adam,0.0015191443770535,COMPLETE,15
4,0.8371297337832772,2025-03-26 10:50:07.755353,2025-03-26 10:51:46.298170,0 days 00:01:38.542817,False,64,simple,,,0.000220551585764,True,adam,0.0041396138018042,COMPLETE,16
3,0.7545592705167173,2025-03-26 11:04:06.060802,2025-03-26 11:05:53.706674,0 days 00:01:47.645872,False,32,complex,0.2519360785429535,128.0,0.0044709100550515,False,sgd,0.0001982206635065,COMPLETE,17
0,0.7991803278688525,2025-03-26 11:15:27.329693,2025-03-26 11:17:11.378387,0 days 00:01:44.048694,False,64,simple,,,0.0073375498568887,False,sgd,0.0061169384908451,COMPLETE,18
11,0.8277610636645962,2025-03-26 11:38:15.267384,2025-03-26 11:40:15.504339,0 days 00:02:00.236955,False,16,complex,0.3631142945407348,512.0,0.0001092212605675,True,adam,0.000124564863195,COMPLETE,19
