epoch,split,metric,value
0,train,loss,nan
0,train,auc,0.5714285714285714
0,train,ber,0.40714285714285714
0,train,fpr,0.21428571428571427
0,train,fnr,0.6
0,validation,auc,0.5
0,validation,ber,0.5
0,validation,fpr,0.0
0,validation,fnr,1.0
1,train,loss,0.661929798753638
1,train,auc,0.7857142857142857
1,train,ber,0.5
1,train,fpr,0.0
1,train,fnr,1.0
1,validation,auc,0.4444444444444444
1,validation,ber,0.5
1,validation,fpr,0.0
1,validation,fnr,1.0
2,train,loss,0.5118851818536457
2,train,auc,0.8714285714285713
2,train,ber,0.5
2,train,fpr,0.0
2,train,fnr,1.0
2,validation,auc,0.4444444444444444
2,validation,ber,0.5
2,validation,fpr,0.0
2,validation,fnr,1.0
3,train,loss,0.49485036887620626
3,train,auc,0.8857142857142858
3,train,ber,0.5
3,train,fpr,0.0
3,train,fnr,1.0
3,validation,auc,0.4444444444444444
3,validation,ber,0.5
3,validation,fpr,0.0
3,validation,fnr,1.0
4,train,loss,0.5003456159641868
4,train,auc,0.8571428571428571
4,train,ber,0.5
4,train,fpr,0.0
4,train,fnr,1.0
4,validation,auc,0.38888888888888884
4,validation,ber,0.5
4,validation,fpr,0.0
4,validation,fnr,1.0
5,train,loss,0.5270454789462843
5,train,auc,0.6142857142857143
5,train,ber,0.5
5,train,fpr,0.0
5,train,fnr,1.0
5,validation,auc,0.38888888888888884
5,validation,ber,0.5
5,validation,fpr,0.0
5,validation,fnr,1.0
